,PNT_OF_INT,DESCRPTION,SOCIAL_MED,WEBSITE,CATEGORY,LOCATION,X,Y,LONGITUDE,LATITUDE,OBJECTID,RID,geometry
416,850 Degrees Pizzeria,Experts at taking a classic and making it original with the very best locally sourced ingredients.,,http://www.850degrees.ca/,Hot Eats,3455 Lake Shore Blvd W,302401.537,4828135.653,-79.529509358,43.595149523,116456.0,417,POINT (-79.529509358 43.595149523)
417,Appalachia Smokehouse & BBQ,Serving only Ontario raised hormone-free and steroidfree meat with all sides and sauces made in house.,https://www.facebook.com/appalachiasmokehouseandbbq?fref=ts,,Hot Eats,972 The Queensway,303648.279,4831345.254,-79.5140770297,43.6240510076,116457.0,418,POINT (-79.5140770297305 43.6240510076488)
418,Big Butcher BBQ,"Grilling antibiotic and horone-free beef, pork and chicken, with handmade buns, pastries, and desserts. Catering available.",,http://www.bigbutcherbbq.com/,Hot Eats,"-79.5317592444,43.6339812156",302221.378,4832449.781,-79.5317592444,43.6339812156,116669.0,419,POINT (-79.53175924440001 43.6339812156)
419,Birds & Beans Cafe,"Indulge in the simple pleasures with a latte and a view of the lake at Birds & Beans café, offering Canada's best selection of bird friendly free trade organic coffees.",,http://www.birdsandbeans.ca/,Hot Eats,2413 Lake Shore Blvd W,305678.386,4830229.874,-79.4889233195,43.6140117524,116459.0,420,POINT (-79.488923319455 43.6140117524413)
420,Bombay on the Lake,"Serving healthy and authentic Indian food, prepared fresh. Visit this Etobicoke Guardian Reader's Choice award winner today.",,http://bombayonthelake.ca/,Hot Eats,3007 Lake Shore Blvd W,304147.833,4828668.875,-79.5078842747,43.5999610811,116460.0,421,POINT (-79.5078842747388 43.5999610811399)
421,Bonimi Restaurant,Serving delicious south European cuisine from former Yugoslavia.,,http://www.bonimi.ca/,Hot Eats,3319 Bloor St W,303134.663,4833687.807,-79.5204473172,43.6451358729,116461.0,422,POINT (-79.52044731718929 43.6451358729231)
422,Buon Giorno Caffe and Panini,A variety of hot and cold Italian sandwiches are available to be paired with a delicious beverage of your choice.,,http://www.buongiornocaffe.ca/,Hot Eats,1134 The Queensway,303211.655,4831203.975,-79.5194868952,43.622778574,116462.0,423,POINT (-79.5194868952034 43.6227785739729)
423,Cakestar,"Cakestar specializes in custom designed cakes, but the talent doesn't end there! Try out their delicious sweet treat trays.",,http://www.cakestar.ca/,Hot Eats,3431 Lake Shore Blvd W,302447.97,4828148.981,-79.528934321,43.595269638,116463.0,424,POINT (-79.52893432099999 43.595269638)
424,Carolina's Cuisina,Experience a comfortable atmosphere with quality Filipino cuisine at an affordable price.,,http://carolinascuisina.ca/,Hot Eats,323 Burnhamthorpe Rd,300778.689,4834103.863,-79.5496551245,43.6488728519,116464.0,425,POINT (-79.54965512448381 43.6488728519015)
425,Casa Barcelona!,"Wowing diners with its culinary prowess, cooked by some of Spain's best chefs since 1997.",,http://www.casabarcelona.ca/,Hot Eats,2980 Bloor St W,304004.205,4834007.862,-79.5096698931,43.6480186381,116465.0,426,POINT (-79.5096698930504 43.6480186380506)
426,Cirillo's Culinary Academy and Restaurant,Cooking classes and catering are available at this great event space.,,http://www.cirillosacademy.com/,Hot Eats,4894 Dundas St W,302479.391,4834156.94,-79.528571726,43.6493568391,116466.0,427,POINT (-79.5285717260037 43.6493568391477)
427,Creme de la Crème,"From the mouth-watering pancakes to the smoked salmon Benedict and homemade hash browns, Creme de la Creme Café is a gem in the Etobicoke food scene.",,http://www.cremedelacremecafe.ca/,Hot Eats,2991 Bloor St W,303994.174,4833948.25,-79.5097941272,43.6474820225,116467.0,428,POINT (-79.5097941271965 43.6474820224782)
428,Dino's Wood Burning Pizza,"A fabulous wood burning pizzeria, using fresh ingredients ¿ Dino's will not disappoint.",,http://dinos-pizza.ca/,Hot Eats,820 The Queensway,304110.8,4831486.617,-79.5083459687,43.6253239692,116468.0,429,POINT (-79.5083459686908 43.6253239692267)
429,European Patisserie,"With custom cakes and desserts for all occasions, European Patisserie has your dessert needs covered.",,http://www.europeanpatisserie.com/,Hot Eats,5072 Dundas St W,302193.299,4833747.133,-79.5321164335,43.6456673615,116469.0,430,POINT (-79.5321164335259 43.6456673614605)
430,Everest Hakka House,Serving an Indian variation of Chinese Hakka Cuisine.,,http://www.everesthakkahouse.com/,Hot Eats,"-79.4882275023,43.6163841658",305734.254,4830494.397,-79.4882275023,43.6163841658,116670.0,431,POINT (-79.48822750230001 43.6163841658)
431,Falafel Royal,Hot and fresh Lebanese food is Falafel Royal's specialty.,https://www.facebook.com/pages/Falafel-royal/285889428114320,,Hot Eats,3308 Lake Shore Blvd W,302846.115,4828334.528,-79.5240071657,43.596949704,116471.0,432,POINT (-79.5240071656975 43.5969497039666)
432,Fat Bastard Burrito Co.,"Fat Bastard Burrito offers a broad menu of burritos and quesadillas, aiming to bring you the freshest flavours.",,http://www.fatbastardburrito.ca/,Hot Eats,1180 The Queensway,303015.226,4831147.326,-79.5219206513,43.6222682923,116472.0,433,POINT (-79.52192065131629 43.6222682923487)
433,Goodlake,"A warm neighbourhood bistro serving a seasonal menu, Ontario craft beer and weekend brunch.",,http://www.goodlake.ca/,Hot Eats,2976 Lake Shore Blvd W,304230.14,4828742.209,-79.5068647871,43.6006212357,116621.0,434,POINT (-79.50686478707961 43.6006212356824)
434,Havana Style Café and Gallery,"Try out a range of sandwiches, including the Havana-style, Cuban coffee and desserts, while enjoying the gallery for Cuban-born artists.",https://www.facebook.com/HavanaStyleCafeGallery?fref=ts,,Hot Eats,270 Brown's Line,301211.019,4828530.531,-79.5442597093,43.5987079145,116622.0,435,POINT (-79.5442597093175 43.5987079145395)
435,Henry VIII Ale House,"A British gastro pub with over 20 draught lines of premium imported beer, over 100 single malt scotches, nightly features and a wonderful Sunday brunch.",,http://www.henryviiialehouse.com/,Hot Eats,2469 Bloor St W,306008.714,4834101.14,-79.484819694,43.648849341,116623.0,436,POINT (-79.484819694 43.648849341)
436,Hi Na Japanese Restaurant,An authentic Japanese restaurant with delicious food and excellent service.,,http://www.hinasushi.com/,Hot Eats,769 The Queensway,304434.039,4831531.646,-79.5043405457,43.6257295545,116624.0,437,POINT (-79.504340545679 43.6257295544763)
437,Hoai Huong Vietnamese Restaurant,Serving Vietnamese fare in the heart of south Etobicoke.,,,Hot Eats,716 The Queensway,304695.179,4831663.447,-79.501104651,43.6269160417,116625.0,438,POINT (-79.5011046509582 43.6269160417428)
438,Izba Restaurant,"An authentic European (German-Austrian), family friendly restaurant, famous for outstanding schnitzel.",,http://www.izba.ca/,Hot Eats,648 The Queensway,304971.007,4831750.979,-79.4976867083,43.6277039639,116626.0,439,POINT (-79.4976867082743 43.6277039638678)
439,Kingsway Fish & Chips,"An icon in the Kingsway community for over 40 years for its warm and inviting family friendly atmosphere, offering ""Kids Eat Free"" every Tuesday.",,http://kingswayfishandchips.com/,Hot Eats,3060 Bloor St W,303711.566,4833909.557,-79.513293763,43.647124684,116627.0,440,POINT (-79.51329376299999 43.647124684)
440,Kitchen on Sixth,Take-out and brunch spot bringing British flair and a downtown vibe with a great patio.,,http://kitchenonsixth.com/,Hot Eats,132 Sixth St,304416.548,4828825.917,-79.5045558964,43.6013748442,116628.0,441,POINT (-79.5045558964368 43.6013748441746)
441,Kothur Indian Cuisine,"Serving south and north Indian food for 10 years, including dosa, sambar, kulchas, chicken curry, tikka, kabab, Indian pulao and biryani.",,http://www.kothur.com/,Hot Eats,2403 Lake Shore Blvd W,305701.123,4830277.441,-79.4886415619,43.6144398954,116629.0,442,POINT (-79.4886415618579 43.6144398953858)
442,Lenny's Lasagna Shop,"Italian take-out and delivery including pizza, lasagna and other classic Italian dishes.",,http://lasagnashop.com/,Hot Eats,4748 Dundas St W,302712.53,4834536.479,-79.5256831342,43.6527737656,116630.0,443,POINT (-79.5256831341687 43.6527737655977)
443,Liba's Bar and Grill Inc.,The family-owned Liba's features a delicious Eastern European (Slovak) Canadian menu including delicious homemade pancakes.,,http://libasbarandgrill.com/,Hot Eats,"-79.54580441,43.6021852017",301086.24,4828917.829,-79.54580441,43.6021852017,116673.0,444,POINT (-79.54580441 43.6021852017)
444,Mai Bistro,A family-owned and operated neighbourhood bistro serving Asian cuisine with a Latin flavour.,,http://www.maibistro.com/,Hot Eats,4906 Dundas St W,302467.593,4834132.946,-79.5287178838,43.6491408391,116632.0,445,POINT (-79.52871788382269 43.6491408390794)
445,Maurya East Indian Roti,Check out the delicious East Indian Roti!,,http://www.mauryaeastindianroti.ca/,Hot Eats,"-79.4891760955,43.6133847514",305657.727,4830161.167,-79.4891760955,43.6133847514,116674.0,446,POINT (-79.4891760955 43.6133847514)
446,Mitzie's Jerk,Home-style Caribbean cuisine with traditional roti and jerk chicken.,,http://mitziesjerk.ca/,Hot Eats,3337 Bloor St W,303050.136,4833660.182,-79.521491695,43.644878408,116634.0,447,POINT (-79.52149169499999 43.644878408)
447,More Than Pies,"Enjoy home-style baked goods, light lunches and dinners, great coffee and great service.",,http://www.morethanpies.com/,Hot Eats,3469 Lake Shore Blvd W,302375.924,4828128.827,-79.5298298353,43.5950965673,116635.0,448,POINT (-79.52982983527799 43.5950965672537)
448,New Flower Drum Restaurant,"Relaxing, comfortable environment for friends and family to enjoy a hot plate of Chinese food.",,http://newflowerdrum.ca/,Hot Eats,2428 Lake Shore Blvd W,305648.655,4830280.818,-79.4892915846,43.6144703482,116636.0,449,POINT (-79.4892915846382 43.6144703482289)
449,Nimman Thai Cuisine,"Authentic Thai cuisine, Nimman Thai Cuisine has over 90 flavourful menu items that are made fresh in-house.",,http://nimman.ca/,Hot Eats,"-79.4891760955,43.6133847514",305657.727,4830161.167,-79.4891760955,43.6133847514,116675.0,450,POINT (-79.4891760955 43.6133847514)
450,Old Mill Toronto,Enjoy an elegant experience with fine dining in the historical setting of the Old Mill Toronto Dining Room.,,http://www.oldmilltoronto.com/,Hot Eats,21 Old Mill Rd,305313.119,4834333.489,-79.4934452357,43.6509501455,116638.0,451,POINT (-79.49344523570841 43.6509501455337)
451,Oregano By Cirillos,"A popular neighbourhood restaurant with fantastic food, excellent service and great value for your dollar.",,http://www.cirillosacademy.com/,Hot Eats,4900 Dundas St W,302473.131,4834145.021,-79.5286492808,43.6492495401,116639.0,452,POINT (-79.52864928083901 43.6492495401351)
452,Orwell's Pub,A friendly neighbourhood pub with a great menu including daily specials.,,,Hot Eats,3373 Bloor St W,302937.477,4833626.892,-79.522891331,43.6445870239,116640.0,453,POINT (-79.5228913309695 43.644587023873)
453,Ottimo Ristorante & Pizzeria,Serving authentic Italian cuisine with an extensive wine list and cozy atmosphere.,,http://ottimoristorante.com/,Hot Eats,3075 Bloor St W,303668.829,4833849.006,-79.5138266225,43.6465881368,116641.0,454,POINT (-79.51382662249991 43.6465881368339)
454,Pazzia Osteria,Come in and enjoy casual southern Italian cuisine.,https://www.facebook.com/pages/Pazzia-Osteria/185142375028,,Hot Eats,848 The Queensway,304019.017,4831457.812,-79.5094832693,43.6250645877,116642.0,455,POINT (-79.5094832693367 43.6250645876615)
455,Pearl Sushi,Delicious authentic Japanese sushi in your neighbourhood.,,http://www.pearlsushi.ca/,Hot Eats,"-79.488284522,43.615096682",305729.669,4830351.363,-79.488284522,43.615096682,116678.0,456,POINT (-79.488284522 43.615096682)
456,Abbirami Catering and Take-out,Sri Lankan restaurant that serves lamprais.,,,Business,2619 Eglinton Avenue East,324736.687,4843732.278,-79.2523120525,43.7352855372,37635.0,457,POINT (-79.25231205245861 43.7352855371987)
457,Cliffside Hearth Bread Company,"Cliffside Hearth Bread Company is an artisan bakery with a focus on unique handcrafted, naturally leavened sourdough breads.",https://www.facebook.com/CliffsideHearthBreadCompany,http://www.cliffsidehearth.com,Business,3047 Kingston Road,326499.446,4842704.764,-79.230466777,43.72597859,37636.0,458,POINT (-79.230466777 43.72597859)
458,D'Ornellas Bike Shop,"D'Ornellas Bike Shop is owned by foru time Olympian and two time Canadian Road Racing Champion, Eon D'Ornellas who is also an active member of the D'Ornellas Cycling Club. D'Ornellas is famously known for staying in touch with customer needs. It also hol",https://www.facebook.com/pages/DOrnellas-Bike-Shop/145598222147382,http://www.dornellas.com/Home.asp,Business,1894 Lawrence Avenue East,320781.93,4844730.615,-79.3013774778,43.7443672042,37637.0,459,POINT (-79.3013774777877 43.744367204184)
459,Fratelli Village Pizzaria,Fratelli is a family owned restaurant featuring authentic Italian food with a warm and inviting casual family dining experience.,,http://www.fratellis.ca,Business,384 Old Kingston Road,331345.379,4849164.625,-79.1700046131,43.7839769156,37638.0,460,POINT (-79.1700046131218 43.7839769156031)
460,Gold Picture Frames,Gold Picture Frames is a family business that has been workingÿtogether to ensure first-rate service for over 30 years. It provides quality custom framing at competitive prices. ÿAll work is done on theÿpremises to ensure valuables are well protected.,,http://www.gallerywall.ca/,Business,3083 Kingston Road,326532.374,4842801.839,-79.230054185,43.726851471,37639.0,461,POINT (-79.230054185 43.726851471)
461,Gourmet Schnitzel House,Gourmet Schnitzel House features schnitzel sandwished and dinners around classic pork and chicken schnitzel.,,http://www.gourmetschnitzelhouse.com,Business,2286 Kingston Road,324745.963,4840423.469,-79.252315802,43.705493201,37640.0,462,POINT (-79.252315802 43.705493201)
462,Lochchana Cake House,Lochchana Cake House is a unique cake house that caters beautiful cakes for all occasions. Cakes are handmade and hand-decorated with custom-made designs. It also sells a rich plethora of cake making and decorating accessories. It also offers classes on,https://www.facebook.com/LochchanaCakes,http://www.lochchana.com/,Business,2631-2633 Eglinton Avenue E,324780.088,4843776.63,-79.2517716678,43.7356835942,38802.0,463,POINT (-79.2517716678275 43.7356835942234)
463,Montmartre Bakery,"Montmartre Bakery is an artisan bakery that sells preservative-free bread and baked goods made with natural ingredients, whole grains and in-season fresh fruits. A family-run business, Montmartre has been baking delicious products in Scarborough for over",https://www.facebook.com/pages/Montmartre-Bakery/127422053961886,http://www.montmartrebakery.com/,Business,105 Midwest Road,323476.3,4845868.132,-79.2678848164,43.7545435835,37642.0,464,POINT (-79.2678848164305 43.7545435835205)
464,Patty Time,"Patty Time is a small Carribbean joint that sells spicy patties of oxtail, beer, jerk chicken, and more.",,,Business,2919-2933 Lawrence Avenue East,324768.11,4845784.434,-79.2518461407,43.7537569052,38805.0,465,POINT (-79.2518461406862 43.753756905158)
465,Seraphia Inspired Cuisine,"Sepaphia products and fiid are made on the premises using only fresh and natural ingredients. They offer complete meals to take home, as well as a variety of salads and side dishes to accompany any meal. It also has a display wall of artworks.",,http://www.seraphiainspiredcuisine.com,Business,2979 Kingston Road,326471.76,4842597.094,-79.230814726,43.725010191,37644.0,466,POINT (-79.23081472600001 43.725010191)
466,Simply Frosted Cupcakery,"Simply Frosted Cupcakery offers cupcakes, fondant cakes, buttercream cakes, shortbread cookies and many more. SFC specializes in cupcakes  in 25 in store flavours and custom fondant cakes.",https://www.facebook.com/SimplyFrostedCupcakery,http://www.simplyfrosted.ca,Business,5550 Lawrence Avenue East,333979.258,4848720.065,-79.137302136,43.77986854,37645.0,467,POINT (-79.137302136 43.77986854)
467,Shawarma Empire,Shawarma Empire serves falafel and shawarma made from freshly-prepared ingredients.,,,Business,1823 Lawrence Avenue East,320610.519,4844604.193,-79.3035094556,43.7432329109,37646.0,468,POINT (-79.3035094555962 43.743232910871)
468,Sultan of Samosas,"Their crispy, light-textured pastry is a result of years of R&D and patented apparatus and process for making improved Samosa pastry. They only use locally produced ingredients and Samosas handcrafted to perfection.",https://www.facebook.com/pages/Sultan-of-Samosas/163702907120997,http://www.sultanofsamosas.com/,Business,1677 O'Connor Drive,320563.102,4841886.75,-79.3041775718,43.7187732011,37647.0,469,POINT (-79.3041775718368 43.7187732011233)
469,T-Bones Sizzling Steak&Burgers,T-Bones is a 24-hour open steakhouse that offers old-fashioned burger and steak upto 16oz.,,,Business,2540 Eglinton Avenue East,324426.155,4843745.445,-79.25616633,43.7354123164,37648.0,470,POINT (-79.2561663300115 43.7354123164262)
470,Vi Pei Bistro,"Vi Pei Bistro, is the ""go to"" place to enjoy fresh healthy foods. Vi Pei features typical European bistro menu.",https://www.facebook.com/ViPeiBistro,http://www.vipeibistro.com,Business,3101 Kingston Road,326561.419,4842833.684,-79.2296955896,43.7271458948,37649.0,471,POINT (-79.22969558957909 43.7271458947681)
471,Vi Pei Bistro,"Vi Pei Bistro, is the ""go to"" place to enjoy fresh healthy foods. Vi Pei features typical European bistro menu.",https://www.facebook.com/ViPeiBistro,http://www.vipeibistro.com,Business,2258 Kingston Road,324721.052,4840364.464,-79.252627109,43.704962754,37650.0,472,POINT (-79.252627109 43.704962754)
472,Wexford Restaurant,The Wexford Restaurant hasserving Scarborough for over 50 years and is family-operated eatery. It also features photos of neighbourhood history.,,,Business,2072 Lawrence Avenue East,321384.174,4844918.48,-79.293890981,43.746036417,38811.0,473,POINT (-79.293890981 43.746036417)
473,ACR Hot Roti&Doubles,ACR Hot Roti serves tasty and spicy doubles and roti.,,,Business,2680 Lawrence Avenue East,323935.539,4845640.211,-79.2621899981,43.7524805477,37652.0,474,POINT (-79.2621899980693 43.75248054774)
